Date,Price,Open,Change_in_percent,pe,pb,div_yield_percent
2024-03-27,22123.65,22053.95,0.54,22.84,3.90,1.21
2024-03-26,22004.70,21947.90,-0.42,22.72,3.87,1.22
2024-03-22,22096.75,21932.20,0.39,22.81,3.89,1.21
2024-03-21,22011.95,21989.90,0.79,22.73,3.88,1.22
2024-03-20,21839.10,21843.90,0.10,22.55,3.85,1.23
2024-03-19,21817.45,21946.45,-1.08,22.52,3.84,1.23
2024-03-18,22055.70,21990.10,0.15,22.77,3.88,1.22
2024-03-15,22023.35,22064.85,-0.56,22.74,3.88,1.22
2024-03-14,22146.65,21982.55,0.68,22.86,3.90,1.21
2024-03-13,21997.70,22432.20,-1.51,22.71,3.87,1.22
2024-03-12,22335.70,22334.45,0.01,23.06,3.93,1.2
2024-03-11,22332.65,22517.50,-0.72,23.06,3.93,1.2
2024-03-07,22493.55,22505.30,0.09,23.22,3.96,1.19
2024-03-06,22474.05,22327.50,0.53,23.20,3.96,1.19
2024-03-05,22356.30,22371.25,-0.22,23.08,3.94,1.2
2024-03-04,22405.60,22403.50,0.12,23.13,3.95,1.2
2024-03-02,22378.40,22406.95,0.18,23.10,3.94,1.2
2024-03-01,22338.75,22048.30,1.62,23.06,3.93,1.2
2024-02-29,21982.80,21935.20,0.14,22.70,3.87,1.22
2024-02-28,21951.15,22214.10,-1.11,22.66,3.87,1.22
2024-02-27,22198.35,22090.20,0.34,22.92,3.91,1.21
2024-02-26,22122.05,22169.20,-0.41,22.84,3.90,1.21
2024-02-23,22212.70,22290.00,-0.02,22.93,3.91,1.22
2024-02-22,22217.45,22081.55,0.74,22.94,3.91,1.22
2024-02-21,22055.05,22248.85,-0.64,22.77,3.88,1.23
2024-02-20,22196.95,22099.20,0.34,22.92,3.91,1.21
2024-02-19,22122.25,22103.45,0.37,22.84,3.90,1.2
2024-02-16,22040.70,22020.30,0.59,22.76,3.88,1.22
2024-02-15,21910.75,21906.55,0.32,22.62,3.86,1.21
2024-02-14,21840.05,21578.15,0.45,22.59,3.85,1.24
2024-02-13,21743.25,21664.30,0.59,22.50,3.83,1.25
2024-02-12,21616.05,21800.80,-0.76,22.38,3.81,1.25
2024-02-09,21782.50,21727.00,0.30,22.51,3.84,1.24
2024-02-08,21717.95,22009.65,-0.97,22.45,3.82,1.24
2024-02-07,21930.50,22045.05,0.01,22.66,3.86,1.21
2024-02-06,21929.40,21825.20,0.72,22.66,3.86,1.21
2024-02-05,21771.70,21921.05,-0.38,22.39,3.83,1.21
2024-02-02,21853.80,21812.75,0.72,22.51,3.85,1.22
2024-02-01,21697.45,21780.65,-0.13,22.38,3.82,1.23
2024-01-31,21725.70,21487.25,0.95,22.46,3.83,1.23
2024-01-30,21522.10,21775.75,-0.99,22.31,3.79,1.24
2024-01-29,21737.60,21433.10,1.80,22.58,3.83,1.23
2024-01-25,21352.60,21454.60,-0.47,22.27,3.76,1.25
2024-01-24,21453.95,21185.25,1.01,22.39,3.78,1.25
2024-01-23,21238.80,21716.70,-1.54,22.31,3.74,1.26
2024-01-20,21571.80,21706.15,-0.23,22.73,3.80,1.24
2024-01-19,21622.40,21615.20,0.75,22.79,3.81,1.24
2024-01-18,21462.25,21414.20,-0.51,22.64,3.78,1.21
2024-01-17,21571.95,21647.25,-2.09,23.03,3.80,1.21
2024-01-16,22032.30,22080.50,-0.29,23.52,3.88,1.18
2024-01-15,22097.45,22053.15,0.93,23.59,3.89,1.26
2024-01-12,21894.55,21773.55,1.14,23.34,3.85,1.27
2024-01-11,21647.20,21688.00,0.13,23.08,3.81,1.29
2024-01-10,21618.70,21529.30,0.34,23.05,3.81,1.29
2024-01-09,21544.85,21653.60,0.15,22.97,3.79,1.29
2024-01-08,21513.00,21747.60,-0.91,22.94,3.79,1.29
2024-01-05,21710.80,21705.75,0.24,23.15,3.82,1.28
2024-01-04,21658.60,21605.80,0.66,23.09,3.81,1.28
2024-01-03,21517.35,21661.10,-0.69,22.94,3.79,1.29
2024-01-02,21665.80,21751.35,-0.35,23.10,3.81,1.28
2024-01-01,21741.90,21727.75,0.05,23.18,3.83,1.28
2023-12-29,21731.40,21737.65,-0.22,23.17,3.83,1.28
2023-12-28,21778.70,21715.00,0.57,23.27,3.84,1.27
2023-12-27,21654.75,21497.65,1.00,23.14,3.82,1.28
2023-12-26,21441.35,21365.20,0.43,22.91,3.78,1.29
2023-12-22,21349.40,21295.85,0.44,22.81,3.76,1.3
2023-12-21,21255.05,21033.95,0.50,22.71,3.75,1.3
2023-12-20,21150.15,21543.50,-1.41,22.60,3.73,1.31
2023-12-19,21453.10,21477.65,0.16,22.92,3.78,1.29
2023-12-18,21418.65,21434.80,-0.18,22.88,3.78,1.29
2023-12-15,21456.65,21287.45,1.29,22.92,3.78,1.29
2023-12-14,21182.70,21110.40,1.23,22.63,3.73,1.31
2023-12-13,20926.35,20929.75,0.10,22.36,3.69,1.32
2023-12-12,20906.40,21018.55,-0.43,22.34,3.69,1.33
2023-12-11,20997.10,20965.30,0.13,22.44,3.70,1.3
2023-12-08,20969.40,20934.10,0.33,22.41,3.70,1.3
2023-12-07,20901.15,20932.40,-0.17,22.34,3.69,1.3
2023-12-06,20937.70,20950.75,0.40,22.38,3.69,1.3
2023-12-05,20855.10,20808.90,0.81,22.29,3.68,1.31
2023-12-04,20686.80,20601.95,2.07,22.11,3.65,1.32
2023-12-01,20267.90,20194.10,0.67,21.66,3.57,1.34
2023-11-30,20133.15,20108.50,0.18,21.52,3.55,1.35
2023-11-29,20096.60,19976.55,1.04,21.48,3.54,1.36
2023-11-28,19889.70,19844.65,0.48,21.26,3.51,1.37
2023-11-24,19794.70,19809.60,-0.04,21.15,3.49,1.38
2023-11-23,19802.00,19828.45,-0.05,21.16,3.49,1.38
2023-11-22,19811.85,19784.00,0.14,21.17,3.49,1.38
2023-11-21,19783.40,19770.90,0.45,21.14,3.49,1.38
2023-11-20,19694.00,19731.15,-0.19,21.06,3.47,1.35
2023-11-17,19731.80,19674.75,-0.17,21.10,3.48,1.34
2023-11-16,19765.20,19674.70,0.46,21.13,3.49,1.34
2023-11-15,19675.45,19651.40,1.19,21.05,3.47,1.33
2023-11-13,19443.55,19486.75,-0.42,20.96,3.43,1.4
2023-11-12,19525.55,19547.25,0.52,21.05,3.44,1.4
2023-11-10,19425.35,19351.85,0.15,20.95,3.43,1.4
2023-11-09,19395.30,19457.40,-0.25,20.91,3.42,1.41
2023-11-08,19443.50,19449.60,0.19,20.97,3.43,1.42
2023-11-07,19406.70,19404.05,-0.03,20.92,3.42,1.42
2023-11-06,19411.75,19345.85,0.94,20.96,3.42,1.42
2023-11-03,19230.60,19241.00,0.51,20.88,3.39,1.43
2023-11-02,19133.25,19120.00,0.76,20.77,3.37,1.42
2023-11-01,18989.15,19064.05,-0.47,20.40,3.34,1.41
2023-10-31,19079.60,19232.95,-0.32,20.45,3.36,1.41
2023-10-30,19140.90,19053.40,0.49,20.90,3.37,1.41
2023-10-27,19047.25,18928.75,1.01,20.84,3.35,1.42
2023-10-26,18857.25,19027.25,-1.39,20.63,3.32,1.51
2023-10-25,19122.15,19286.45,-0.83,20.92,3.37,1.48
2023-10-23,19281.75,19521.60,-1.34,21.36,3.39,1.4
2023-10-20,19542.65,19542.15,-0.42,21.68,3.44,1.38
2023-10-19,19624.70,19545.20,-0.24,21.77,3.45,1.36
2023-10-18,19671.10,19820.45,-0.71,21.87,3.46,1.36
2023-10-17,19811.50,19843.20,0.40,22.38,3.49,1.35
2023-10-16,19731.75,19737.25,-0.10,22.29,3.47,1.36
2023-10-13,19751.05,19654.55,-0.22,22.33,3.48,1.36
2023-10-12,19794.00,19822.70,-0.09,22.39,3.48,1.36
2023-10-11,19811.35,19767.00,0.62,22.41,3.49,1.36
2023-10-10,19689.85,19565.60,0.91,22.27,3.47,1.36
2023-10-09,19512.35,19539.45,-0.72,22.07,3.43,1.38
2023-10-06,19653.50,19621.20,0.55,22.23,3.46,1.37
2023-10-05,19545.75,19521.85,0.56,22.11,3.44,1.37
2023-10-04,19436.10,19446.30,-0.47,21.98,3.42,1.38
2023-10-03,19528.75,19622.40,-0.56,22.09,3.44,1.38
2023-09-29,19638.30,19581.20,0.59,22.21,3.46,1.37
2023-09-28,19523.55,19761.80,-0.98,22.05,4.31,1.38
2023-09-27,19716.45,19637.05,0.26,22.27,4.36,1.36
2023-09-26,19664.70,19682.80,-0.05,22.21,4.35,1.37
2023-09-25,19674.55,19678.20,0.00,22.22,4.36,1.37
2023-09-22,19674.25,19744.85,-0.34,22.22,4.36,1.37
2023-09-21,19742.35,19840.55,-0.80,22.30,4.37,1.36
2023-09-20,19901.40,19980.75,-1.15,22.48,4.41,1.35
2023-09-18,20133.30,20155.95,-0.29,22.74,4.46,1.34
2023-09-15,20192.35,20156.45,0.44,22.81,4.47,1.33
2023-09-14,20103.10,20127.95,0.16,22.71,4.47,1.34
2023-09-13,20070.00,19989.50,0.38,22.67,4.46,1.34
2023-09-12,19993.20,20110.15,-0.02,22.58,4.44,1.35
2023-09-11,19996.35,19890.00,0.89,22.59,4.46,1.35
2023-09-08,19819.95,19774.80,0.47,22.39,4.43,1.36
2023-09-07,19727.05,19598.65,0.59,22.28,4.41,1.36
2023-09-06,19611.05,19581.20,0.18,22.37,4.43,1.36
2023-09-05,19574.90,19564.65,0.24,22.33,4.46,1.36
2023-09-04,19528.80,19525.05,0.48,22.28,4.46,1.36
2023-09-01,19435.30,19258.15,0.94,22.17,4.44,1.37
2023-08-31,19253.80,19375.55,-0.48,21.97,4.40,1.38
2023-08-30,19347.45,19433.45,0.02,22.07,4.42,1.38
2023-08-29,19342.65,19374.85,0.19,22.07,4.42,1.38
2023-08-28,19306.05,19298.35,0.21,22.03,4.43,1.38
2023-08-25,19265.80,19297.40,-0.62,21.98,4.44,1.38
2023-08-24,19386.70,19535.15,-0.29,22.12,4.47,1.37
2023-08-23,19444.00,19439.20,0.25,22.19,4.56,1.37
2023-08-22,19396.45,19417.10,0.01,22.13,4.55,1.37
2023-08-21,19393.60,19320.65,0.43,22.42,4.66,1.37
2023-08-18,19310.15,19301.75,-0.28,22.32,4.64,1.36
2023-08-17,19365.25,19450.55,-0.51,22.39,4.66,1.39
2023-08-16,19465.00,19369.00,0.16,22.52,4.68,1.39
2023-08-14,19434.55,19383.95,0.03,22.64,4.70,1.39
2023-08-11,19428.30,19554.25,-0.59,22.63,4.70,1.38
2023-08-10,19543.10,19605.55,-0.46,22.77,4.73,1.36
2023-08-09,19632.55,19578.80,0.32,22.81,4.75,1.37
2023-08-08,19570.85,19627.20,-0.13,22.73,4.73,1.31
2023-08-07,19597.30,19576.85,0.41,22.83,4.74,1.34
2023-08-04,19517.00,19462.80,0.70,22.71,4.72,1.34
2023-08-03,19381.65,19463.75,-0.74,22.55,4.69,1.35
2023-08-02,19526.55,19655.40,-1.05,22.72,4.73,1.33
2023-08-01,19733.55,19784.00,-0.10,22.96,4.82,1.28
2023-07-31,19753.80,19666.35,0.55,23.01,4.83,1.28
2023-07-28,19646.05,19659.75,-0.07,22.91,4.80,1.29
2023-07-27,19659.90,19850.90,-0.60,23.83,4.80,1.28
2023-07-26,19778.30,19733.35,0.50,23.97,4.83,1.27
2023-07-25,19680.60,19729.35,0.04,23.55,4.81,1.28
2023-07-24,19672.35,19748.45,-0.37,23.83,4.81,1.28
2023-07-21,19745.00,19800.45,-1.17,23.95,4.82,1.27
2023-07-20,19979.15,19831.70,0.74,24.24,4.88,1.28
2023-07-19,19833.15,19802.95,0.42,24.09,4.85,1.27
2023-07-18,19749.25,19787.50,0.19,24.18,4.83,1.28
2023-07-17,19711.45,19612.15,0.75,24.14,4.82,1.29
2023-07-14,19564.50,19493.45,0.78,23.96,4.78,1.3
2023-07-13,19413.75,19495.20,0.15,23.81,4.74,1.32
2023-07-12,19384.30,19497.45,-0.28,22.58,4.54,1.38
2023-07-11,19439.40,19427.10,0.43,22.65,4.56,1.38
2023-07-10,19355.90,19400.35,0.12,22.55,4.54,1.38
2023-07-07,19331.80,19422.80,-0.85,22.52,4.53,1.39
2023-07-06,19497.30,19385.70,0.51,22.72,4.57,1.37
2023-07-05,19398.50,19405.95,0.05,22.60,4.55,1.38
2023-07-04,19389.00,19406.60,0.34,22.59,4.54,1.38
2023-07-03,19322.55,19246.50,0.70,22.51,4.53,1.4
2023-06-30,19189.05,19076.85,1.14,22.36,4.50,1.41
2023-06-28,18972.10,18908.15,0.82,22.08,4.43,1.43
2023-06-27,18817.40,18748.55,0.68,21.90,4.40,1.44
2023-06-26,18691.20,18682.35,0.14,21.76,4.37,1.45
2023-06-23,18665.50,18741.85,-0.56,21.73,4.36,1.45
2023-06-22,18771.25,18853.60,-0.45,21.85,4.39,1.44
2023-06-21,18856.85,18849.40,0.21,21.96,4.41,1.4
2023-06-20,18816.70,18752.35,0.33,21.91,4.40,1.4
2023-06-19,18755.45,18873.30,-0.37,21.84,4.38,1.42
2023-06-16,18826.00,18723.30,0.74,21.92,4.40,1.39
2023-06-15,18688.10,18774.45,-0.36,21.76,4.37,1.39
2023-06-14,18755.90,18744.60,0.21,21.84,4.38,1.43
2023-06-13,18716.15,18631.80,0.62,21.79,4.37,1.43
2023-06-12,18601.50,18595.05,0.21,21.66,4.35,1.44
2023-06-09,18563.40,18655.90,-0.38,21.62,4.34,1.45
2023-06-08,18634.55,18725.35,-0.49,21.70,4.36,1.44
2023-06-07,18726.40,18665.60,0.68,21.81,4.38,1.43
2023-06-06,18599.00,18600.80,0.03,21.66,4.35,1.44
2023-06-05,18593.85,18612.00,0.32,21.65,4.35,1.44
2023-06-02,18534.10,18550.85,0.25,21.58,4.33,1.45
2023-06-01,18487.75,18579.40,-0.25,21.53,4.32,1.36
2023-05-31,18534.40,18594.20,-0.53,21.59,4.33,1.36
2023-05-30,18633.85,18606.65,0.19,21.70,4.36,1.44
2023-05-29,18598.65,18619.15,0.54,21.65,4.35,1.34
2023-05-26,18499.35,18368.35,0.97,21.54,4.33,1.34
2023-05-25,18321.15,18268.90,0.20,21.28,4.29,1.43
2023-05-24,18285.40,18294.80,-0.34,21.24,4.28,1.49
2023-05-23,18348.00,18362.90,0.18,21.41,4.29,1.49
2023-05-22,18314.40,18201.10,0.61,21.36,4.29,1.49
2023-05-19,18203.40,18186.15,0.41,21.48,4.26,1.5
2023-05-18,18129.95,18287.50,-0.28,21.39,4.24,1.5
2023-05-17,18181.75,18300.45,-0.57,21.47,4.26,1.49
2023-05-16,18286.50,18432.35,-0.61,21.59,4.28,1.48
2023-05-15,18398.85,18339.30,0.46,21.92,4.31,1.27
2023-05-12,18314.80,18273.75,0.10,21.82,4.29,1.28
2023-05-11,18297.00,18357.80,-0.10,21.86,4.28,1.36
2023-05-10,18315.10,18313.60,0.27,21.88,4.29,1.36
2023-05-09,18265.95,18303.40,0.01,21.77,4.28,1.37
2023-05-08,18264.40,18120.60,1.08,21.77,4.28,1.37
2023-05-05,18069.00,18117.30,-1.02,21.62,4.23,1.38
2023-05-04,18255.80,18081.00,0.92,21.85,4.27,1.37
2023-05-03,18089.85,18113.80,-0.32,21.33,4.23,1.38
2023-05-02,18147.65,18124.80,0.46,20.92,4.25,1.38
2023-04-28,18065.00,17950.40,0.84,20.87,4.23,1.38
2023-04-27,17915.05,17813.10,0.57,20.70,4.19,1.39
2023-04-26,17813.60,17767.30,0.25,20.59,4.17,1.4
2023-04-25,17769.25,17761.55,0.15,20.56,4.16,1.41
2023-04-24,17743.40,17707.55,0.68,20.74,4.15,1.41
2023-04-21,17624.05,17639.75,0.00,20.61,4.13,1.42
2023-04-20,17624.45,17638.60,0.03,20.61,4.13,1.42
2023-04-19,17618.75,17653.35,-0.23,20.60,4.12,1.42
2023-04-18,17660.15,17766.60,-0.26,20.65,4.13,1.41
2023-04-17,17706.85,17863.00,-0.68,20.82,4.14,1.41
2023-04-13,17828.00,17807.30,0.09,20.99,4.17,1.4
2023-04-12,17812.40,17759.55,0.51,20.97,4.17,1.39
2023-04-11,17722.30,17704.80,0.56,20.86,4.15,1.4
2023-04-10,17624.05,17634.90,0.14,20.75,4.13,1.41
2023-04-06,17599.15,17533.85,0.24,20.72,4.12,1.41
2023-04-05,17557.05,17422.30,0.91,20.67,4.11,1.41
2023-04-03,17398.05,17427.95,0.22,20.48,4.07,1.43
2023-03-31,17359.75,17210.35,1.63,20.44,4.06,1.44
2023-03-29,17080.70,16977.30,0.76,20.13,4.00,1.46
2023-03-28,16951.70,17031.75,-0.20,19.97,3.97,1.47
2023-03-27,16985.70,16984.30,0.24,20.01,3.98,1.47
2023-03-24,16945.05,17076.20,-0.77,19.97,3.97,1.47
2023-03-23,17076.90,17097.40,-0.44,20.12,4.00,1.46
2023-03-22,17151.90,17177.45,0.26,20.21,4.02,1.45
2023-03-21,17107.50,17060.40,0.70,20.16,4.01,1.46
2023-03-20,16988.40,17066.60,-0.65,20.02,3.98,1.47
2023-03-17,17100.05,17111.80,0.67,20.15,4.00,1.46
2023-03-16,16985.60,16994.65,0.08,20.01,3.98,1.47
2023-03-15,16972.15,17166.45,-0.42,20.00,3.97,1.47
2023-03-14,17043.30,17160.55,-0.65,20.08,3.99,1.46
2023-03-13,17154.30,17421.90,-1.49,20.21,4.02,1.45
2023-03-10,17412.90,17443.80,-1.00,20.52,4.08,1.43
2023-03-09,17589.60,17772.05,-0.93,20.73,4.12,1.41
2023-03-08,17754.40,17665.75,0.24,20.92,4.16,1.4
2023-03-06,17711.45,17680.35,0.67,20.87,4.15,1.41
2023-03-03,17594.35,17451.25,1.57,20.73,4.12,1.41
2023-03-02,17321.90,17421.50,-0.74,20.41,4.06,1.44
2023-03-01,17450.90,17360.10,0.85,20.56,4.09,1.43
2023-02-28,17303.95,17383.25,-0.51,20.39,4.05,1.44
2023-02-27,17392.70,17428.60,-0.42,20.49,4.07,1.43
2023-02-24,17465.80,17591.35,-0.26,20.58,4.09,1.42
2023-02-23,17511.25,17574.65,-0.25,20.64,4.10,1.4
2023-02-22,17554.30,17755.35,-1.53,20.69,4.11,1.4
2023-02-21,17826.70,17905.80,-0.10,21.01,4.18,1.38
2023-02-20,17844.60,17965.55,-0.56,21.04,4.18,1.41
2023-02-17,17944.20,17974.85,-0.51,21.15,4.20,1.4
2023-02-16,18035.85,18094.75,0.11,21.26,4.23,1.38
2023-02-15,18015.85,17896.60,0.48,21.31,4.22,1.41
2023-02-14,17929.85,17840.35,0.89,21.21,4.20,1.35
2023-02-13,17770.90,17859.10,-0.48,21.05,4.16,1.42
2023-02-10,17856.50,17847.55,-0.21,21.06,4.18,1.41
2023-02-09,17893.45,17885.50,0.12,21.11,4.19,1.41
2023-02-08,17871.70,17750.30,0.85,21.10,4.19,1.42
2023-02-07,17721.50,17790.10,-0.24,20.50,4.15,1.39
2023-02-06,17764.60,17818.55,-0.50,20.71,4.16,1.39
2023-02-03,17854.05,17721.75,1.38,20.86,4.18,1.38
2023-02-02,17610.40,17517.10,-0.03,20.59,4.13,1.4
2023-02-01,17616.30,17811.60,-0.26,20.68,4.13,1.4
2023-01-31,17662.15,17731.45,0.07,20.73,4.14,1.39
2023-01-30,17648.95,17541.95,0.25,20.73,4.14,1.39
2023-01-27,17604.35,17877.20,-1.61,20.70,4.13,1.4
2023-01-25,17891.95,18093.35,-1.25,21.19,4.19,1.37
2023-01-24,18118.30,18183.95,0.00,21.49,4.25,1.36
2023-01-23,18118.55,18118.45,0.50,21.60,4.25,1.35
2023-01-20,18027.65,18115.60,-0.44,21.46,4.23,1.36
2023-01-19,18107.85,18119.80,-0.32,21.56,4.24,1.37
2023-01-18,18165.35,18074.30,0.62,21.67,4.26,1.36
2023-01-17,18053.30,17922.80,0.89,21.53,4.23,1.37
2023-01-16,17894.85,18033.15,-0.34,21.34,4.19,1.38
2023-01-13,17956.60,17867.50,0.55,21.54,4.21,1.28
2023-01-12,17858.20,17920.85,-0.21,21.47,4.19,1.29
2023-01-11,17895.70,17924.25,-0.10,21.52,4.20,1.28
2023-01-10,17914.15,18121.30,-1.03,21.56,4.20,1.28
2023-01-09,18101.20,17952.55,1.35,21.78,4.25,1.27
2023-01-06,17859.45,18008.05,-0.74,21.49,4.19,1.29
2023-01-05,17992.15,18101.95,-0.28,21.65,4.22,1.28
2023-01-04,18042.95,18230.65,-1.04,21.71,4.23,1.27
2023-01-03,18232.55,18163.20,0.19,21.94,4.28,1.26
2023-01-02,18197.45,18131.70,0.51,21.90,4.27,1.26
2022-12-30,18105.30,18259.10,-0.47,21.79,4.25,1.27
2022-12-29,18191.00,18045.70,0.38,21.86,4.27,1.27
2022-12-28,18122.50,18084.75,-0.05,21.78,4.25,1.27
2022-12-27,18132.30,18089.80,0.65,21.79,4.26,1.27
2022-12-26,18014.60,17830.40,1.17,21.65,4.23,1.28
2022-12-23,17806.80,17977.65,-1.77,21.40,4.18,1.29
2022-12-22,18127.35,18288.80,-0.39,21.79,4.26,1.27
2022-12-21,18199.10,18435.15,-1.01,21.87,4.27,1.29
2022-12-20,18385.30,18340.30,-0.19,22.10,4.32,1.28
2022-12-19,18420.45,18288.10,0.83,22.14,4.32,1.28
2022-12-16,18269.00,18319.10,-0.79,21.96,4.29,1.29
2022-12-15,18414.90,18614.40,-1.32,22.13,4.32,1.28
2022-12-14,18660.30,18671.25,0.28,22.43,4.38,1.26
2022-12-13,18608.00,18524.40,0.60,22.36,4.37,1.27
2022-12-12,18497.15,18402.15,0.00,22.23,4.34,1.27
2022-12-09,18496.60,18662.40,-0.61,22.23,4.34,1.27
2022-12-08,18609.35,18570.85,0.26,22.36,4.37,1.27
2022-12-07,18560.50,18638.85,-0.44,22.31,4.36,1.27
2022-12-06,18642.75,18600.65,-0.31,22.40,4.38,1.26
2022-12-05,18701.05,18719.55,0.03,22.47,4.39,1.28
2022-12-02,18696.10,18752.40,-0.62,22.47,4.39,1.28
2022-12-01,18812.50,18871.95,0.29,22.61,4.42,1.28
2022-11-30,18758.35,18625.70,0.75,22.54,4.40,1.28
2022-11-29,18618.05,18552.45,0.30,22.37,4.37,1.29
2022-11-28,18562.75,18430.55,0.27,22.31,4.36,1.29
2022-11-25,18512.75,18528.45,0.16,22.25,4.35,1.3
2022-11-24,18484.10,18326.10,1.19,22.21,4.34,1.3
2022-11-23,18267.25,18325.20,0.13,21.95,4.29,1.31
2022-11-22,18244.20,18179.15,0.46,21.93,4.28,1.32
2022-11-21,18159.95,18246.40,-0.81,21.82,4.26,1.35
2022-11-18,18307.65,18382.95,-0.20,21.79,4.30,1.3
2022-11-17,18343.90,18358.70,-0.36,21.83,4.31,1.3
2022-11-16,18409.65,18398.25,0.03,21.91,4.32,1.3
2022-11-15,18403.40,18362.75,0.41,21.89,4.32,1.3
2022-11-14,18329.15,18376.40,-0.11,21.79,4.31,1.26
2022-11-11,18349.70,18272.35,1.78,21.92,4.31,1.24
2022-11-10,18028.20,18044.35,-0.71,21.53,4.24,1.27
2022-11-09,18157.00,18288.25,-0.25,21.66,4.27,1.26
2022-11-07,18202.80,18211.75,0.47,21.71,4.28,1.24
2022-11-04,18117.15,18053.40,0.36,21.77,4.26,1.25
2022-11-03,18052.70,17968.35,-0.17,21.79,4.24,1.25
2022-11-02,18082.85,18177.90,-0.34,21.82,4.25,1.25
2022-11-01,18145.40,18130.70,0.74,21.98,4.26,1.26
2022-10-31,18012.20,17910.20,1.27,21.42,4.23,1.25
2022-10-28,17786.80,17756.40,0.28,21.15,4.18,1.26
2022-10-27,17736.95,17771.40,0.46,21.10,4.17,1.26
2022-10-25,17656.35,17808.30,-0.42,21.00,4.15,1.28
2022-10-24,17730.75,17736.35,0.88,21.26,4.17,1.28
2022-10-21,17576.30,17622.85,0.07,21.07,4.13,1.29
2022-10-20,17563.95,17423.10,0.30,21.06,4.13,1.3
2022-10-19,17512.25,17568.15,0.14,21.02,4.12,1.31
2022-10-18,17486.95,17438.75,1.01,20.99,4.11,1.3
2022-10-17,17311.80,17144.80,0.73,20.86,4.07,1.31
2022-10-14,17185.70,17322.30,1.01,20.74,4.04,1.31
2022-10-13,17014.35,17087.35,-0.64,20.53,4.00,1.33
2022-10-12,17123.60,17025.55,0.82,20.67,4.02,1.32
2022-10-11,16983.55,17256.05,-1.49,20.51,3.99,1.33
2022-10-10,17241.00,17094.35,-0.43,20.82,4.05,1.31
2022-10-07,17314.65,17287.20,-0.10,20.90,4.07,1.31
2022-10-06,17331.80,17379.25,0.33,20.93,4.07,1.31
2022-10-04,17274.30,17147.45,2.29,20.86,4.06,1.31
2022-10-03,16887.35,17102.10,-1.21,20.39,3.97,1.34
2022-09-30,17094.35,16798.05,1.64,20.64,4.02,1.32
2022-09-29,16818.10,16993.60,-0.24,20.08,3.90,1.36
2022-09-28,16858.60,16870.55,-0.87,20.13,3.91,1.36
2022-09-27,17007.40,17110.90,-0.05,20.30,3.95,1.35
2022-09-26,17016.30,17156.30,-1.80,20.31,3.95,1.35
2022-09-23,17327.35,17593.85,-1.72,20.69,4.02,1.32
2022-09-22,17629.80,17609.65,-0.50,21.05,4.09,1.3
2022-09-21,17718.35,17766.35,-0.55,21.15,4.11,1.29
2022-09-20,17816.25,17770.40,1.10,21.27,4.13,1.28
2022-09-19,17622.25,17540.65,0.52,21.04,4.09,1.3
2022-09-16,17530.85,17796.80,-1.94,20.93,4.07,1.31
2022-09-15,17877.40,18046.35,-0.70,21.34,4.15,1.35
2022-09-14,18003.75,17771.15,-0.37,21.49,4.18,1.34
2022-09-13,18070.05,18044.45,0.75,21.57,4.19,1.34
2022-09-12,17936.35,17890.85,0.58,21.41,4.16,1.35
2022-09-09,17833.35,17923.35,0.19,21.29,4.14,1.35
2022-09-08,17798.75,17748.15,0.99,21.25,4.13,1.36
2022-09-07,17624.40,17519.40,-0.18,21.04,4.09,1.41
2022-09-06,17655.60,17695.70,-0.06,21.08,4.10,1.41
2022-09-05,17665.80,17546.45,0.72,21.09,4.10,1.41
2022-09-02,17539.45,17598.40,-0.02,20.94,4.07,1.42
2022-09-01,17542.80,17485.70,-1.22,20.94,4.07,1.43
2022-08-30,17759.30,17414.95,2.58,21.20,4.12,1.41
2022-08-29,17312.90,17188.65,-1.40,20.67,4.05,1.45
2022-08-26,17558.90,17619.30,0.21,20.96,4.10,1.43
2022-08-25,17522.45,17679.00,-0.47,20.92,4.09,1.43
2022-08-24,17604.95,17525.45,0.16,21.02,4.11,1.42
2022-08-23,17577.50,17357.35,0.50,20.98,4.11,1.43
2022-08-22,17490.70,17682.90,-1.51,20.88,4.09,1.44
2022-08-19,17758.45,17966.55,-1.10,21.20,4.15,1.41
2022-08-18,17956.50,17898.65,0.07,21.44,4.20,1.38
2022-08-17,17944.25,17868.15,0.67,21.42,4.20,1.33
2022-08-16,17825.25,17797.20,0.72,21.34,4.18,1.34
2022-08-12,17698.15,17659.65,0.22,21.18,4.15,1.35
2022-08-11,17659.00,17711.65,0.71,21.29,4.18,1.36
2022-08-10,17534.75,17566.10,0.06,21.11,4.21,1.34
2022-08-08,17525.10,17401.50,0.73,21.02,4.21,1.33
2022-08-05,17397.50,17423.65,0.09,20.86,4.18,1.29
2022-08-04,17382.00,17463.10,-0.04,20.85,4.18,1.3
2022-08-03,17388.15,17349.25,0.25,20.85,4.18,1.3
2022-08-02,17345.45,17310.15,0.03,20.86,4.17,1.29
2022-08-01,17340.05,17243.20,1.06,20.90,4.17,1.29
2022-07-29,17158.25,17079.50,1.35,20.73,4.12,1.29
2022-07-28,16929.60,16774.85,1.73,20.49,4.07,1.33
2022-07-27,16641.80,16475.35,0.96,20.19,4.00,1.38
2022-07-26,16483.85,16632.90,-0.88,20.17,3.96,1.39
2022-07-25,16631.00,16662.55,-0.53,20.44,4.01,1.38
2022-07-22,16719.45,16661.25,0.69,20.55,4.03,1.4
2022-07-21,16605.25,16523.55,0.51,20.43,4.00,1.41
